Reef,Date,Grid Square,PTVO,CECR,EPST,CEFU,EPGU,STPA,STDE,TOL,MYTI/MYBO,Other,Unsure
PET,13-Jul,32,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,33,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,34,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,35,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,36,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,37,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,38,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,39,0,0,0,0,0,7,0,0,0,0,0
PET,13-Jul,40,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,41,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,42,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,43,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,44,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,45,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,46,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,47,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,48,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,49,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,50,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,51,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,52,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,53,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,54,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,55,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,56,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,57,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,58,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,59,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,60,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,61,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,62,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,63,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,64,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,65,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,66,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,67,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,68,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,69,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,70,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,71,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,72,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,73,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,74,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,75,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,76,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,77,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,78,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,79,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,80,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,81,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,82,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,83,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,84,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,85,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,86,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,87,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,88,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,89,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,90,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,91,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,92,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,93,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,94,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,95,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,96,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,97,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,98,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,99,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,100,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,101,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,102,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,103,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,104,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,105,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,106,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,107,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,108,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,109,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,110,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,111,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,112,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,113,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,114,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,115,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,116,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,117,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,118,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,119,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,120,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,121,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,122,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,123,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,124,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,125,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,126,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,127,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,128,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,129,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,130,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,131,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,132,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,133,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,134,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,135,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,136,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,137,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,138,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,139,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,140,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,141,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,142,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,143,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,144,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,145,0,16,0,0,0,0,0,0,0,0,0
PET,13-Jul,146,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,147,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,148,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,149,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,150,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,151,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,152,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,153,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,154,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,155,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,156,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,157,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,158,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,159,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,160,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,161,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,162,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,163,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,164,0,30,0,0,0,0,0,0,0,0,0
PET,13-Jul,165,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,166,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,167,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,168,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,169,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,170,0,0,0,0,0,0,0,1,0,0,0
PET,13-Jul,171,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,172,0,0,0,0,0,4,0,0,0,0,0
PET,13-Jul,173,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,174,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,175,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,176,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,177,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,178,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,179,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,180,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,181,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,182,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,183,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,184,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,185,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,186,0,0,0,0,0,0,0,0,0,0,0
PET,13-Jul,187,0,0,0,0,0,0,0,0,0,0,0
