Reef,Date,Grid Square,PTVO,CECR,EPST,CEFU,EPGU,STPA,STDE,TOL,MYTI/MYBO,Other,Unsure,
RIV,03-Aug,233,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,234,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,235,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,236,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,237,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,238,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,239,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,240,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,241,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,242,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,243,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,244,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,245,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,246,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,247,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,248,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,249,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,250,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,251,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,252,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,253,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,254,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,255,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,256,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,257,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,258,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,259,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,260,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,261,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,262,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,263,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,264,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,265,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,266,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,267,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,268,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,269,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,270,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,271,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,272,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,273,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,274,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,275,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,276,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,277,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,278,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,279,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,280,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,281,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,282,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,283,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,284,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,285,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,286,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,287,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,288,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,289,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,290,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,291,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,292,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,293,0,0,0,0,0,0,0,0,0,0,0,
RIV,03-Aug,294,0,0,0,0,0,0,0,0,0,0,0,
