Reef,Date,Grid Square,PTVO,CECR,EPST,CEFU,EPGU,STPA,STDE,TOL,MYTI/MYBO,Other,Unsure
PET,10-Aug,1,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,2,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,3,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,4,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,5,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,6,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,7,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,8,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,9,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,10,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,11,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,12,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,13,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,14,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,15,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,16,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,17,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,18,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,19,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,20,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,21,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,22,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,23,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,24,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,25,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,26,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,27,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,28,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,29,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,30,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,31,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,32,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,33,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,34,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,35,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,36,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,37,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,38,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,39,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,40,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,41,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,42,0,0,0,0,0,6,0,0,0,0,0
PET,10-Aug,43,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,44,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,45,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,46,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,47,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,48,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,49,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,50,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,51,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,52,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,53,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,54,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,55,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,56,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,57,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,58,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,59,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,60,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,61,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,62,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,63,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,64,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,65,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,66,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,67,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,68,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,69,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,70,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,71,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,72,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,73,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,74,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,75,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,76,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,77,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,78,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,79,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,80,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,81,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,82,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,83,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,84,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,85,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,86,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,87,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,88,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,89,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,90,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,91,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,92,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,93,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,94,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,95,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,96,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,97,0,0,0,0,0,0,0,0,0,0,0
PET,10-Aug,98,0,0,0,0,0,0,0,0,0,0,0
