Reef,Date,Grid Square,PTVO,CECR,EPST,CEFU,EPGU,STPA,STDE,TOL,MYTI/MYBO,Other,Unsure,
MIN,14-Sep,1,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,2,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,3,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,4,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,5,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,6,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,7,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,8,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,9,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,10,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,11,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,12,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,13,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,14,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,15,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,16,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,17,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,18,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,19,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,20,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,21,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,22,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,23,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,24,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,25,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,26,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,27,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,28,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,29,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,30,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,31,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,32,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,33,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,34,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,35,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,36,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,37,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,38,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,39,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,40,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,41,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,42,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,43,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,44,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,45,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,46,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,47,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,48,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,49,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,50,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,51,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,52,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,53,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,54,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,55,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,56,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,57,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,58,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,59,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,60,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,61,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,62,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,63,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,64,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,65,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,66,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,67,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,68,0,0,0,0,0,0,0,0,0,0,0,
MIN,14-Sep,69,0,0,0,0,0,0,0,0,0,0,0,
