Reef,Date,Grid Square,PTVO,CECR,EPST,CEFU,EPGU,STPA,STDE,TOL,MYTI/MYBO,Other,Unsure,
MIN,24-Aug,171,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,172,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,173,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,174,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,175,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,176,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,177,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,178,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,179,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,180,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,181,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,182,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,183,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,184,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,185,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,186,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,187,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,188,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,189,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,190,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,191,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,192,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,193,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,194,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,195,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,196,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,197,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,198,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,199,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,200,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,201,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,202,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,203,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,204,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,205,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,206,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,207,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,208,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,209,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,210,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,211,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,212,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,213,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,214,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,215,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,216,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,217,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,218,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,219,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,220,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,221,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,222,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,223,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,224,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,225,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,226,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,227,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,228,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,229,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,230,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,231,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,232,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,233,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,234,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,235,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,236,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,237,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,238,0,0,0,0,0,0,0,0,0,0,0,
MIN,24-Aug,239,0,0,0,0,0,0,0,0,0,0,0,
