Reef,Date,Grid Square,PTVO,CECR,EPST,CEFU,EPGU,STPA,STDE,TOL,MYTI/MYBO,Other,Unsure
BAG,11-Aug,1,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,2,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,3,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,4,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,5,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,6,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,7,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,8,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,9,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,10,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,11,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,12,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,13,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,14,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,15,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,16,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,17,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,18,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,19,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,20,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,21,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,22,0,0,0,0,0,0,0,1,0,0,0
BAG,11-Aug,23,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,24,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,25,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,26,26,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,27,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,28,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,29,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,30,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,31,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,32,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,33,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,34,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,35,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,36,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,37,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,38,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,39,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,40,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,41,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,42,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,43,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,44,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,45,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,46,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,47,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,48,0,0,0,0,0,7,0,0,0,0,0
BAG,11-Aug,49,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,50,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,51,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,52,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,53,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,54,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,55,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,56,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,57,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,58,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,59,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,60,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,61,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,62,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,63,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,64,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,65,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,66,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,67,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,68,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,69,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,70,0,0,0,0,0,0,0,0,0,0,0
BAG,11-Aug,71,0,0,0,0,0,0,1,0,0,0,0
